Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,PssYds,PssTD,Int,Att,RshYds,Y/A,RshTD,Tgt,Rec,RecYds,Y/R,RecTD,Fmb,FL,TD,2PM,2PP,FantPt,PPR
426,Alex Armah,CAR,RB,25,16,1,0,0,0,0,0,6,11,1.83,1,2,2,6,3,0,0,0,1,,,8,9.7
427,Cedrick Wilson,DAL,WR,24,6,0,0,0,0,0,0,0,0,,0,8,5,46,9.2,0,0,0,0,,,5,9.6
428,Marshawn Lynch,SEA,RB,33,1,0,0,0,0,0,0,12,34,2.83,1,0,0,0,,0,0,0,1,,,9,9.4
429,Troymaine Pope,LAC,RB,26,14,0,0,0,0,0,0,10,20,2,0,3,2,14,7,1,1,1,1,,,7,9.4
430,Khari Blasingame,TEN,RB,23,6,3,0,0,0,0,0,0,0,,0,5,4,54,13.5,0,0,0,0,,,5,9.4
431,Cethan Carter,CIN,RB,24,15,0,0,0,0,0,0,0,0,,0,3,2,13,6.5,1,0,0,1,,,7,9.3
432,DeAndrew White,CAR,WR,28,10,0,0,0,0,0,0,0,0,,0,9,4,51,12.75,0,0,0,0,,,5,9.1
433,Chad Beebe,MIN,WR,25,3,0,0,0,0,0,0,0,0,,0,2,2,70,35,0,3,0,0,,,7,9
434,Chris Lacy,DET,WR,23,7,2,0,0,0,0,0,0,0,,0,10,3,60,20,0,0,0,0,,,6,9
435,Travis Benjamin,LAC,WR,30,5,2,0,0,0,0,0,0,0,,0,16,6,30,5,0,0,0,0,,,3,9
436,Luke Falk,NYJ,QB,25,3,2,47,73,416,0,3,0,0,,0,0,0,0,,0,2,1,0,,,9,8.6
437,Ventell Bryant,DAL,WR,23,12,0,0,0,0,0,0,0,0,,0,1,1,15,15,1,0,0,1,,,8,8.5
438,Jon Hilliman,NYG,RB,24,3,1,0,0,0,0,0,30,91,3.03,0,4,3,1,0.33,0,2,2,0,,,5,8.2
439,Lance Kendricks,LAC,TE,31,12,1,0,0,0,0,0,0,0,,0,7,3,50,16.67,0,0,0,0,,,5,8
440,Devine Ozigbo,JAX,RB,23,10,0,0,0,0,0,0,9,27,3,0,5,3,23,7.67,0,0,0,0,,,5,8
441,Deon Yelder,KAN,TE,24,9,1,0,0,0,0,0,0,0,,0,4,3,50,16.67,0,0,0,0,,,5,8
442,Drew Sample,CIN,TE,23,9,2,0,0,0,0,0,0,0,,0,6,5,30,6,0,0,0,0,,,3,8
443,Diontae Spencer,DEN,WR,27,16,2,0,0,0,0,0,3,6,2,0,8,6,31,5.17,0,3,1,0,,,2,7.7
444,Dwayne Washington,NOR,RB,25,16,0,0,0,0,0,0,8,60,7.5,0,1,1,6,6,0,0,0,0,,,7,7.6
445,Jordan Matthews,2TM,WR,27,3,1,0,0,0,0,0,0,0,,0,12,4,33,8.25,0,0,0,0,,,3,7.3
446,Ross Travis,IND,TE,26,3,1,0,0,0,0,0,0,0,,0,6,4,51,12.75,0,1,1,0,,,3,7.1
447,Trevon Wesco,NYJ,TE,24,16,1,0,0,0,0,0,1,2,2,0,3,2,47,23.5,0,0,0,0,,,5,6.9
448,Deontay Burnett,PHI,WR,22,1,1,0,0,0,0,0,0,0,,0,4,2,48,24,0,0,0,0,,,5,6.8
449,Elijhaa Penny,NYG,RB,26,16,1,0,0,0,0,0,15,39,2.6,0,4,2,9,4.5,0,0,0,0,,,5,6.8
450,Geremy Davis,LAC,WR,27,7,1,0,0,0,0,0,0,0,,0,3,3,38,12.67,0,0,0,0,,,4,6.8
451,Alexander Hollins,MIN,WR,23,5,1,0,0,0,0,0,0,0,,0,4,2,46,23,0,0,0,0,,,5,6.6
452,Johnny Mundt,LAR,TE,25,13,2,0,0,0,0,0,0,0,,0,7,4,26,6.5,0,0,0,0,,,3,6.6
453,Jason Moore,LAC,WR,24,10,0,0,0,0,0,0,0,0,,0,5,2,43,21.5,0,0,0,0,,,4,6.3
454,Devin Funchess,IND,WR,25,1,1,0,0,0,0,0,0,0,,0,5,3,32,10.67,0,0,0,0,,,3,6.2
455,Michael Crabtree,ARI,WR,32,2,1,0,0,0,0,0,0,0,,0,5,4,22,5.5,0,0,0,0,,,2,6.2
456,Brett Hundley,ARI,QB,26,3,0,5,11,49,0,0,7,41,5.86,0,0,0,0,,0,0,0,0,,,6,6.1
457,Matt Barkley,BUF,QB,29,2,0,27,51,359,0,3,2,-4,-2,0,0,0,0,,0,3,1,0,,,6,6
458,Tyrod Taylor,LAC,QB,30,8,0,4,6,33,1,0,10,7,0.7,0,1,0,0,,0,0,0,0,,,6,6
459,Johnny Holton,PIT,WR,28,16,3,0,0,0,0,0,1,9,9,0,15,3,21,7,0,0,0,0,,,3,6
460,Taiwan Jones,HOU,RB,31,11,0,0,0,0,0,0,9,40,4.44,0,1,1,9,9,0,0,0,0,,,5,5.9
461,Cody Core,NYG,WR,25,16,0,0,0,0,0,0,0,0,,0,5,3,28,9.33,0,0,0,0,,,3,5.8
462,Donte Moncrief,2TM,WR,26,8,2,0,0,0,0,0,0,0,,0,15,4,18,4.5,0,0,0,0,,,2,5.8
463,Steven Mitchell,HOU,WR,25,3,1,0,0,0,0,0,0,0,,0,6,2,37,18.5,0,0,0,0,,,4,5.7
464,Andre Roberts*,BUF,WR,31,13,0,0,0,0,0,0,1,7,7,0,7,3,20,6.67,0,1,0,0,,,3,5.7
465,Nick Bawden,DET,RB,23,10,2,0,0,0,0,0,0,0,,0,6,4,17,4.25,0,0,0,0,,,2,5.7
466,Russell Shepard,NYG,WR,29,3,0,0,0,0,0,0,0,0,,0,8,3,25,8.33,0,0,0,0,,,3,5.5
467,Ishmael Hyman,TAM,WR,24,2,1,0,0,0,0,0,0,0,,0,4,2,34,17,0,0,0,0,,,3,5.4
468,Ryan Grant,OAK,WR,29,2,1,0,0,0,0,0,0,0,,0,9,4,14,3.5,0,0,0,0,,,1,5.4
469,C.J. Board,JAX,WR,26,4,0,0,0,0,0,0,0,0,,0,4,2,31,15.5,0,0,0,0,,,3,5.1
470,Anthony Sherman,KAN,RB,31,16,0,0,0,0,0,0,4,9,2.25,0,3,2,22,11,0,0,0,0,,,3,5.1
471,Chris Moore,BAL,WR,26,14,1,0,0,0,0,0,1,0,0,0,5,3,21,7,0,0,0,0,,,2,5.1
472,Marqise Lee,JAX,WR,28,6,1,0,0,0,0,0,1,1,1,0,4,3,18,6,0,0,0,0,,,2,4.9
473,Paul Perkins,DET,RB,25,4,0,0,0,0,0,0,12,29,2.42,0,1,1,9,9,0,0,0,0,,,4,4.8
474,Stanley Morgan,CIN,WR,23,11,0,0,0,0,0,0,0,0,,0,10,3,18,6,0,0,0,0,,,2,4.8
475,Pharaoh Brown,CLE,TE,25,9,6,0,0,0,0,0,0,0,,0,3,2,27,13.5,0,0,0,0,,,3,4.7
476,Da'Mari Scott,NYG,WR,24,5,2,0,0,0,0,0,1,5,5,0,3,2,22,11,0,0,0,0,,,3,4.7
477,Cam Sims,WAS,WR,23,7,1,0,0,0,0,0,0,0,,0,3,2,27,13.5,0,0,0,0,,,3,4.7
478,Tanner Hudson,TAM,TE,25,9,1,0,0,0,0,0,0,0,,0,5,2,26,13,0,0,0,0,,,3,4.6
479,Josh Oliver,JAX,TE,22,4,1,0,0,0,0,0,0,0,,0,6,3,15,5,0,0,0,0,,,2,4.5
480,Bobo Wilson,TAM,WR,24,6,1,0,0,0,0,0,0,0,,0,11,3,35,11.67,0,3,1,0,,,2,4.5
481,C.J. Anderson,DET,RB,28,2,0,0,0,0,0,0,16,43,2.69,0,0,0,0,,0,0,0,0,,,4,4.3
482,Colt McCoy,WAS,QB,33,1,1,18,27,122,0,1,2,14,7,0,0,0,0,,0,2,0,0,,,4,4.3
483,T.J. Logan,TAM,RB,25,12,0,0,0,0,0,0,3,10,3.33,0,3,2,13,6.5,0,0,0,0,,,2,4.3
484,Mike Glennon,OAK,QB,30,2,0,6,10,56,1,0,2,0,0,0,0,0,0,,0,3,1,0,,,4,4.2
485,Fred Brown,DEN,WR,26,13,1,0,0,0,0,0,0,0,,0,3,2,21,10.5,0,1,0,0,,,2,4.1
486,Tyler Ervin,2TM,RB,26,10,0,0,0,0,0,0,1,10,10,0,4,2,11,5.5,0,2,0,0,,,2,4.1
487,Eric Saubert,CHI,TE,25,2,0,0,0,0,0,0,0,0,,0,3,2,21,10.5,0,0,0,0,,,2,4.1
488,Codey McElroy,TAM,WR,27,1,0,0,0,0,0,0,0,0,,0,1,1,30,30,0,0,0,0,,,3,4
489,Josh Bellamy,NYJ,WR,30,7,0,0,0,0,0,0,0,0,,0,3,2,20,10,0,0,0,0,,,2,4
490,Robert Davis,2TM,WR,24,6,3,0,0,0,0,0,0,0,,0,5,2,17,8.5,0,0,0,0,,,2,3.7
491,Ashton Dulin,IND,WR,22,13,0,0,0,0,0,0,0,0,,0,2,2,17,8.5,0,0,0,0,,,2,3.7
492,Darius Jennings,TEN,WR,27,8,0,0,0,0,0,0,0,0,,0,5,2,17,8.5,0,0,0,0,,,2,3.7
493,Zach Zenner,3TM,RB,28,5,0,0,0,0,0,0,3,-2,-0.67,0,3,2,19,9.5,0,0,0,0,,,2,3.7
494,Gunner Olszewski,NWE,WR,23,8,0,0,0,0,0,0,0,0,,0,4,2,34,17,0,1,1,0,,,1,3.4
495,Mike Thomas,LAR,WR,25,16,0,0,0,0,0,0,0,0,,0,5,2,14,7,0,0,0,0,,,1,3.4
496,Cody Hollister,TEN,WR,26,5,0,0,0,0,0,0,0,0,,0,2,2,13,6.5,0,0,0,0,,,1,3.3
497,Isaac Nauta,DET,TE,22,6,0,0,0,0,0,0,0,0,,0,3,2,13,6.5,0,0,0,0,,,1,3.3
498,Keith Smith,ATL,RB,27,16,5,0,0,0,0,0,5,8,1.6,0,3,1,13,13,0,0,0,0,,,2,3.1
499,Scott Simonson,NYG,TE,27,5,1,0,0,0,0,0,0,0,,0,2,2,11,5.5,0,0,0,0,,,1,3.1
500,Jay Ajayi,PHI,RB,26,3,0,0,0,0,0,0,10,30,3,0,1,0,0,,0,0,0,0,,,3,3
501,Levine Toilolo,SFO,TE,28,13,0,0,0,0,0,0,0,0,,0,2,2,10,5,0,0,0,0,,,1,3
502,Dalyn Dawkins,TEN,RB,25,2,0,0,0,0,0,0,11,26,2.36,0,1,0,0,,0,0,0,0,,,3,2.6
503,Rashard Davis,TEN,WR,25,1,0,0,0,0,0,0,0,0,,0,1,1,16,16,0,0,0,0,,,2,2.6
504,Roosevelt Nix,PIT,RB,27,3,0,0,0,0,0,0,0,0,,0,3,2,4,2,0,0,0,0,,,,2.4
505,Sean Culkin,LAC,TE,26,4,2,0,0,0,0,0,0,0,,0,2,1,12,12,0,0,0,0,,,1,2.2
506,Jeff Smith,NYJ,WR,22,1,0,0,0,0,0,0,0,0,,0,2,1,12,12,0,0,0,0,,,1,2.2
507,Antony Auclair,TAM,TE,26,8,5,0,0,0,0,0,0,0,,0,3,1,11,11,0,0,0,0,,,1,2.1
508,Chris Manhertz,CAR,TE,27,15,6,0,0,0,0,0,0,0,,0,1,1,11,11,0,0,0,0,,,1,2.1
509,De'Anthony Thomas,2TM,WR,26,14,0,0,0,0,0,0,2,5,2.5,0,2,1,6,6,0,3,0,0,,,1,2.1
510,John Ursua,SEA,WR,25,3,0,0,0,0,0,0,0,0,,0,1,1,11,11,0,0,0,0,,,1,2.1
511,Austin Carr,NOR,WR,26,6,3,0,0,0,0,0,0,0,,0,4,1,9,9,0,0,0,0,,,1,1.9
512,Ben Koyack,JAX,TE,26,11,6,0,0,0,0,0,0,0,,0,3,1,9,9,0,0,0,0,,,1,1.9
513,Ricky Ortiz,NOR,RB,25,1,0,0,0,0,0,0,0,0,,0,1,1,8,8,0,0,0,0,,,1,1.8
514,Jordan Thomas,HOU,TE,23,5,2,0,0,0,0,0,0,0,,0,3,1,8,8,0,0,0,0,,,1,1.8
515,Dwayne Harris,OAK,WR,32,3,0,0,0,0,0,0,0,0,,0,1,1,7,7,0,0,0,0,,,1,1.7
516,Chris Herndon,NYJ,TE,23,1,0,0,0,0,0,0,0,0,,0,2,1,7,7,0,0,0,0,,,1,1.7
517,Samaje Perine,2TM,RB,24,7,0,0,0,0,0,0,5,16,3.2,0,0,0,0,,0,0,0,0,,,2,1.6
518,Dalton Schultz,DAL,TE,23,16,0,0,0,0,0,0,0,0,,0,2,1,6,6,0,0,0,0,,,1,1.6
519,Jaleel Scott,BAL,WR,24,3,0,0,0,0,0,0,0,0,,0,3,1,6,6,0,0,0,0,,,1,1.6
520,Jakob Johnson,NWE,RB,25,4,3,0,0,0,0,0,0,0,,0,2,1,5,5,0,0,0,0,,,1,1.5
521,Charles Jones,JAX,TE,23,4,0,0,0,0,0,0,0,0,,0,1,1,5,5,0,0,0,0,,,1,1.5
522,Tyrone Swoopes,SEA,TE,25,5,2,0,0,0,0,0,0,0,,0,1,1,5,5,0,0,0,0,,,1,1.5
523,Darrell Daniels,ARI,TE,25,11,0,0,0,0,0,0,0,0,,0,3,1,4,4,0,0,0,0,,,,1.4
524,Zach Gentry,PIT,TE,23,4,0,0,0,0,0,0,0,0,,0,1,1,4,4,0,0,0,0,,,,1.4
525,Krishawn Hogan,NOR,WR,24,8,0,0,0,0,0,0,0,0,,0,1,1,4,4,0,0,0,0,,,,1.4
526,Senorise Perry,BUF,RB,28,11,0,0,0,0,0,0,3,3,1,0,1,1,1,1,0,0,0,0,,,,1.4
527,Will Grier,CAR,QB,24,2,2,28,52,228,0,4,7,22,3.14,0,0,0,0,,0,1,1,0,,,1,1.3
528,Cyril Grayson,TAM,WR,26,2,0,0,0,0,0,0,0,0,,0,1,1,3,3,0,0,0,0,,,,1.3
529,Xavier Grimble,PIT,TE,27,3,1,0,0,0,0,0,0,0,,0,3,1,3,3,0,0,0,0,,,,1.3
530,Josh Adams,NYJ,RB,23,3,0,0,0,0,0,0,8,12,1.5,0,0,0,0,,0,0,0,0,,,1,1.2
531,Damien Harris,NWE,RB,22,2,0,0,0,0,0,0,4,12,3,0,0,0,0,,0,0,0,0,,,1,1.2
532,John Franklin,TAM,WR,25,1,0,0,0,0,0,0,1,11,11,0,0,0,0,,0,0,0,0,,,1,1.1
533,Dexter Williams,GNB,RB,22,4,0,0,0,0,0,0,5,11,2.2,0,0,0,0,,0,0,0,0,,,1,1.1
534,Eric Tomlinson,3TM,TE,27,8,3,0,0,0,0,0,0,0,,0,1,1,1,1,0,0,0,0,,,,1.1
535,Buddy Howell,HOU,RB,23,16,0,0,0,0,0,0,5,10,2,0,0,0,0,,0,0,0,0,,,1,1
536,Josh Ferguson,WAS,RB,26,2,0,0,0,0,0,0,3,9,3,0,0,0,0,,0,0,0,0,,,1,0.9
537,John Kelly,LAR,RB,23,4,0,0,0,0,0,0,3,9,3,0,0,0,0,,0,0,0,0,,,1,0.9
538,Jordan Scarlett,CAR,RB,23,9,0,0,0,0,0,0,4,9,2.25,0,0,0,0,,0,0,0,0,,,1,0.9
539,Josh McCown,PHI,QB,40,3,0,3,5,24,0,0,2,-2,-1,0,0,0,0,,0,0,0,0,,,1,0.8
540,Ryan Nall,CHI,RB,24,8,0,0,0,0,0,0,2,8,4,0,0,0,0,,0,0,0,0,,,1,0.8
541,Tony Brooks-James,PIT,RB,25,3,0,0,0,0,0,0,8,7,0.88,0,0,0,0,,0,0,0,0,,,1,0.7
542,Ryan Griffin,TAM,QB,30,2,0,2,4,18,0,0,4,-1,-0.25,0,0,0,0,,0,0,0,0,,,1,0.6
543,De'Lance Turner,MIA,RB,24,8,0,0,0,0,0,0,4,6,1.5,0,0,0,0,,0,0,0,0,,,1,0.6
544,Alfred Morris,ARI,RB,31,1,0,0,0,0,0,0,1,4,4,0,0,0,0,,0,0,0,0,,,,0.4
545,James Develin,NWE,RB,31,2,2,0,0,0,0,0,2,3,1.5,0,0,0,0,,0,0,0,0,,,,0.3
546,Trace McSorley,BAL,QB,24,1,0,0,0,0,0,0,1,1,1,0,0,0,0,,0,0,0,0,,,,0.1
547,Trevor Siemian,NYJ,QB,28,1,1,3,6,3,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,0.1
548,Tim Boyle,GNB,QB,25,3,0,3,4,15,0,0,5,-7,-1.4,0,0,0,0,,0,0,0,0,,,,-0.1
549,Garrett Gilbert,CLE,QB,28,5,0,0,3,0,0,0,3,-3,-1,0,0,0,0,,0,0,0,0,,,,-0.3
550,Nick Mullens,SFO,QB,24,1,0,0,0,0,0,0,3,-3,-1,0,0,0,0,,0,0,0,0,,,,-0.3
551,Michael Walker,JAX,WR,23,7,0,0,0,0,0,0,0,0,,0,3,2,15,7.5,0,2,2,0,,,-3,-0.5
552,Blake Bortles,LAR,QB,27,3,0,1,2,3,0,0,2,-9,-4.5,0,0,0,0,,0,0,0,0,,,-1,-0.8
553,Darrius Shepherd,GNB,WR,24,6,0,0,0,0,0,0,0,0,,0,2,1,1,1,0,1,1,0,,,-2,-0.9
554,Quincy Enunwa,NYJ,WR,27,1,1,0,0,0,0,0,0,0,,0,3,1,-4,-4,0,1,1,0,,,-2,-1.4
555,Sean Mannion,MIN,QB,27,3,1,12,21,126,0,2,6,-5,-0.83,0,0,0,0,,0,1,1,0,,,-1,-1.5
556,Jarrett Stidham,NWE,QB,23,3,0,2,4,14,0,1,2,-2,-1,0,0,0,0,,0,0,0,0,,,-2,-1.6
557,Greg Dortch,CAR,,21,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,1,1,0,,,-2,-2
558,Ray-Ray McCloud,CAR,,23,6,0,0,0,0,0,0,0,0,,0,0,0,0,,0,3,1,0,,,-2,-2
559,Corey Clement,PHI,,25,4,0,0,0,0,0,0,0,0,,0,0,0,0,,0,2,2,0,,,-4,-4
